Prospect Type,Name / Channel,Category,Best Contact,Contact Type,Contact URL,Relevant Content / Fit Link,Affiliate Fit Score (1-10),Audience Size,Why Talysman Fits,Suggested Outreach Angle,Source URL,Verification Date,Outreach Status,Notes,Gatekeeper / Organization,Decision Maker / Role,Institution / Community,Geography,Approx. Reachable Group Size,Official / Community Page,Why Members Fit Talysman,Recommended Pilot Pitch,Suggested First CTA,Accessibility Score (1-10),Audience Fit Score (1-10),Pilot Value Score (1-10)
Affiliate,AttentionTalkVideo,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=AttentionTalkVideo,https://www.youtube.com/results?search_query=AttentionTalkVideo+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,"Dr. Trish Leigh, Brain Rewire",ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Dr.+Trish+Leigh%2C+Brain+Rewire,https://www.youtube.com/results?search_query=Dr.+Trish+Leigh%2C+Brain+Rewire+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,"Gloria Joy Sherrod, LCPC - Adulting with ADHD",ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Gloria+Joy+Sherrod%2C+LCPC+-+Adulting+with+ADHD,https://www.youtube.com/results?search_query=Gloria+Joy+Sherrod%2C+LCPC+-+Adulting+with+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD's World,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD%27s+World,https://www.youtube.com/results?search_query=ADHD%27s+World+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Jesse,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Jesse,https://www.youtube.com/results?search_query=ADHD+Jesse+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,The Mini ADHD Coach,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=The+Mini+ADHD+Coach,https://www.youtube.com/results?search_query=The+Mini+ADHD+Coach+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Authentically ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Authentically+ADHD,https://www.youtube.com/results?search_query=Authentically+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADDitude Magazine,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADDitude+Magazine,https://www.youtube.com/results?search_query=ADDitude+Magazine+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Jen Kirkman 'YOU ARE A LOT' (an adhd podcast),ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Jen+Kirkman+%27YOU+ARE+A+LOT%27+%28an+adhd+podcast%29,https://www.youtube.com/results?search_query=Jen+Kirkman+%27YOU+ARE+A+LOT%27+%28an+adhd+podcast%29+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Doctor Jacque | Child Anxiety & ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Doctor+Jacque+%7C+Child+Anxiety+%26+ADHD,https://www.youtube.com/results?search_query=Doctor+Jacque+%7C+Child+Anxiety+%26+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD na Obcasach,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+na+Obcasach,https://www.youtube.com/results?search_query=ADHD+na+Obcasach+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,"Executive Function, ADHD, 2e. Seth Perler",ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Executive+Function%2C+ADHD%2C+2e.+Seth+Perler,https://www.youtube.com/results?search_query=Executive+Function%2C+ADHD%2C+2e.+Seth+Perler+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Dr. Dan Sullivan,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Dr.+Dan+Sullivan,https://www.youtube.com/results?search_query=Dr.+Dan+Sullivan+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Cherry ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Cherry+ADHD,https://www.youtube.com/results?search_query=Cherry+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Help for ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Help+for+ADHD,https://www.youtube.com/results?search_query=Help+for+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Dr. John Kruse,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Dr.+John+Kruse,https://www.youtube.com/results?search_query=Dr.+John+Kruse+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Coach Ryan Mayer,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Coach+Ryan+Mayer,https://www.youtube.com/results?search_query=ADHD+Coach+Ryan+Mayer+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Jenna Redfield Notion for ADHD Entrepreneurs,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Jenna+Redfield+Notion+for+ADHD+Entrepreneurs,https://www.youtube.com/results?search_query=Jenna+Redfield+Notion+for+ADHD+Entrepreneurs+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,I Have ADHD Podcast & Coaching,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=I+Have+ADHD+Podcast+%26+Coaching,https://www.youtube.com/results?search_query=I+Have+ADHD+Podcast+%26+Coaching+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Dana Kay - ADHD Thrive Institute,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Dana+Kay+-+ADHD+Thrive+Institute,https://www.youtube.com/results?search_query=Dana+Kay+-+ADHD+Thrive+Institute+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Mollys ADHD Mayhem,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Mollys+ADHD+Mayhem,https://www.youtube.com/results?search_query=Mollys+ADHD+Mayhem+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Nishantha,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Nishantha,https://www.youtube.com/results?search_query=Nishantha+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ND OUTLOUD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ND+OUTLOUD,https://www.youtube.com/results?search_query=ND+OUTLOUD+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD ASMR for Insomnia,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+ASMR+for+Insomnia,https://www.youtube.com/results?search_query=ADHD+ASMR+for+Insomnia+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD centrum Nederland,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+centrum+Nederland,https://www.youtube.com/results?search_query=ADHD+centrum+Nederland+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Support Talk,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Support+Talk,https://www.youtube.com/results?search_query=ADHD+Support+Talk+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD reWired,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+reWired,https://www.youtube.com/results?search_query=ADHD+reWired+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Broadcasting ADHD Europe,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Broadcasting+ADHD+Europe,https://www.youtube.com/results?search_query=Broadcasting+ADHD+Europe+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Life Now,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Life+Now,https://www.youtube.com/results?search_query=ADHD+Life+Now+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Coach Mande John - Learn to Thrive with ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Coach+Mande+John+-+Learn+to+Thrive+with+ADHD,https://www.youtube.com/results?search_query=ADHD+Coach+Mande+John+-+Learn+to+Thrive+with+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Wellness,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Wellness,https://www.youtube.com/results?search_query=ADHD+Wellness+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,ADHD Norge,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=ADHD+Norge,https://www.youtube.com/results?search_query=ADHD+Norge+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Drake Institute,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Drake+Institute,https://www.youtube.com/results?search_query=Drake+Institute+focus+productivity+study,9,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Braelyn | Systems For ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Braelyn+%7C+Systems+For+ADHD,https://www.youtube.com/results?search_query=Braelyn+%7C+Systems+For+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,Vanshita - ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=Vanshita+-+ADHD,https://www.youtube.com/results?search_query=Vanshita+-+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
Affiliate,GrowNOW ADHD,ADHD / Executive Function,YouTube business inquiry / creator business contact,YouTube / business inquiry,https://www.youtube.com/results?search_query=GrowNOW+ADHD,https://www.youtube.com/results?search_query=GrowNOW+ADHD+focus+productivity+study,10,,"Audience often discusses distractibility, executive function and external structure.","Position the USB key as external structure / environmental friction, not more willpower; avoid medical claims.",https://videos.feedspot.com/adhd_youtube_channels/,2026-08-31,Not Contacted,Publicly listed creator/channel from 2026 niche directory. Verify current business email/DM from creator channel About/profile before sending.,,,,,,,,,,,,
