Prospect Type,Gatekeeper / Organization,Decision Maker / Role,Category,Institution / Community,Geography,Approx. Reachable Group Size,Best Contact,Contact Type,Contact URL,Official / Community Page,Why Members Fit Talysman,Recommended Pilot Pitch,Suggested First CTA,Accessibility Score (1-10),Audience Fit Score (1-10),Pilot Value Score (1-10),Source URL,Verification Date,Outreach Status,Notes
Initial User Gatekeeper,MasseyHacks,,Hackathon Organizer,Major League Hacking member event,"Windsor, Ontario, CA",,Organizer contact / partnership route on event website,Website / contact form,https://masseyhacks.ca,https://masseyhacks.ca,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,INTERHACK BCN,,Hackathon Organizer,Major League Hacking member event,"Barcelona, ES",,Organizer contact / partnership route on event website,Website / contact form,https://www.interhackbcn.com,https://www.interhackbcn.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackDavis,,Hackathon Organizer,Major League Hacking member event,"Davis, California, US",,Organizer contact / partnership route on event website,Website / contact form,https://hackdavis.io,https://hackdavis.io,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,NMIT Hacks,,Hackathon Organizer,Major League Hacking member event,"Bengaluru, Karnataka, IN",,Organizer contact / partnership route on event website,Website / contact form,https://nmithacks.com,https://nmithacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Global Hack Week: GenAI,,Hackathon Organizer,Major League Hacking member event,Worldwide,,Organizer contact / partnership route on event website,Website / contact form,https://events.mlh.io,https://events.mlh.io,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,ConHacks,,Hackathon Organizer,Major League Hacking member event,"Waterloo, Ontario, CA",,Organizer contact / partnership route on event website,Website / contact form,https://conhacks.io,https://conhacks.io,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Hackabull,,Hackathon Organizer,Major League Hacking member event,"Tampa, Florida, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.hackabull.com,https://www.hackabull.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,KeanUHackThis,,Hackathon Organizer,Major League Hacking member event,"Union, New Jersey, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.keanuhackthis.com,https://www.keanuhackthis.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,BroncoHacks,,Hackathon Organizer,Major League Hacking member event,"Pomona, California, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.broncohacks.org,https://www.broncohacks.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Hack Arizona,,Hackathon Organizer,Major League Hacking member event,"Tucson, Arizona, US",,Organizer contact / partnership route on event website,Website / contact form,https://hack.arizona.edu,https://hack.arizona.edu,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,BearHacks,,Hackathon Organizer,Major League Hacking member event,"Mississauga, Ontario, CA",,Organizer contact / partnership route on event website,Website / contact form,https://www.bearhacks.com,https://www.bearhacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Hacktech,,Hackathon Organizer,Major League Hacking member event,"Pasadena, California, US",,Organizer contact / partnership route on event website,Website / contact form,https://hack.caltech.edu,https://hack.caltech.edu,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackUPC,,Hackathon Organizer,Major League Hacking member event,"Barcelona, Catalonia, ES",,Organizer contact / partnership route on event website,Website / contact form,https://hackupc.com,https://hackupc.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,LA Hacks,,Hackathon Organizer,Major League Hacking member event,"Los Angeles, California, US",,Organizer contact / partnership route on event website,Website / contact form,https://lahacks.com,https://lahacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackRice,,Hackathon Organizer,Major League Hacking member event,"Houston, Texas, US",,Organizer contact / partnership route on event website,Website / contact form,https://hackrice.com,https://hackrice.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackMTY,,Hackathon Organizer,Major League Hacking member event,"Monterrey, Nuevo Leon, MX",,Organizer contact / partnership route on event website,Website / contact form,https://hackmty.com,https://hackmty.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackWesTX,,Hackathon Organizer,Major League Hacking member event,"Lubbock, Texas, US",,Organizer contact / partnership route on event website,Website / contact form,https://hackwestx.gdgttu.com,https://hackwestx.gdgttu.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackHers @GSU,,Hackathon Organizer,Major League Hacking member event,"Atlanta, Georgia, US",,Organizer contact / partnership route on event website,Website / contact form,https://hackhers.club,https://hackhers.club,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Hack the North,,Hackathon Organizer,Major League Hacking member event,"Waterloo, Ontario, CA",,Organizer contact / partnership route on event website,Website / contact form,https://hackthenorth.com,https://hackthenorth.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,VTHacks,,Hackathon Organizer,Major League Hacking member event,"Blacksburg, Virginia, US",,Organizer contact / partnership route on event website,Website / contact form,https://vthacks.com,https://vthacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HopHacks,,Hackathon Organizer,Major League Hacking member event,"Baltimore, Maryland, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.hophacks.com,https://www.hophacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,SteelHacks,,Hackathon Organizer,Major League Hacking member event,"Pittsburgh, Pennsylvania, US",,Organizer contact / partnership route on event website,Website / contact form,https://steelhacks.org,https://steelhacks.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,&HACKS,,Hackathon Organizer,Major League Hacking member event,"Williamsburg, Virginia, US",,Organizer contact / partnership route on event website,Website / contact form,https://andhacks.cs.wm.edu,https://andhacks.cs.wm.edu,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackNex,,Hackathon Organizer,Major League Hacking member event,"Kalyani, West Bengal, IN",,Organizer contact / partnership route on event website,Website / contact form,https://innovocon.online,https://innovocon.online,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackGT,,Hackathon Organizer,Major League Hacking member event,"Atlanta, Georgia, US",,Organizer contact / partnership route on event website,Website / contact form,https://hack.gt,https://hack.gt,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,ShellHacks,,Hackathon Organizer,Major League Hacking member event,"Miami, Florida, US",,Organizer contact / partnership route on event website,Website / contact form,https://shellhacks.net,https://shellhacks.net,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,DivHacks,,Hackathon Organizer,Major League Hacking member event,"New York, NY, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.columbiadivhacks.org,https://www.columbiadivhacks.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,OwlHacks,,Hackathon Organizer,Major League Hacking member event,"Philadelphia, Pennsylvania, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.owlhacks.com,https://www.owlhacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,hackUMBC,,Hackathon Organizer,Major League Hacking member event,"Baltimore, Maryland, US",,Organizer contact / partnership route on event website,Website / contact form,https://hackumbc.tech,https://hackumbc.tech,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,BigRed//Hacks,,Hackathon Organizer,Major League Hacking member event,"Ithaca, New York, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.bigredhacks.com,https://www.bigredhacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Rowdy Hacks,,Hackathon Organizer,Major League Hacking member event,"San Antonio, Texas, US",,Organizer contact / partnership route on event website,Website / contact form,https://rowdyhacks.org,https://rowdyhacks.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Hack Dearborn,,Hackathon Organizer,Major League Hacking member event,"Dearborn, Michigan, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.hackdearborn.org,https://www.hackdearborn.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,MHacks,,Hackathon Organizer,Major League Hacking member event,"Ann Arbor, Michigan, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.mhacks.org,https://www.mhacks.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,GirlHacks,,Hackathon Organizer,Major League Hacking member event,"Newark, New Jersey, US",,Organizer contact / partnership route on event website,Website / contact form,https://www.njitgirlhacks.com,https://www.njitgirlhacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Innohacks,,Hackathon Organizer,Major League Hacking member event,"Ghaziabad, Uttar Pradesh, IN",,Organizer contact / partnership route on event website,Website / contact form,https://innohacks.live,https://innohacks.live,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,SBUHacks,,Hackathon Organizer,Major League Hacking member event,"Stony Brook, New York, US",,Organizer contact / partnership route on event website,Website / contact form,https://hack.sbcs.io,https://hack.sbcs.io,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,HackNC,,Hackathon Organizer,Major League Hacking member event,"Chapel Hill, North Carolina, US",,Organizer contact / partnership route on event website,Website / contact form,https://hacknc.com,https://hacknc.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Hack Knight,,Hackathon Organizer,Major League Hacking member event,"Flushing, New York, US",,Organizer contact / partnership route on event website,Website / contact form,https://hackknight.org,https://hackknight.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,Knight Hacks,,Hackathon Organizer,Major League Hacking member event,"Orlando, Florida, US",,Organizer contact / partnership route on event website,Website / contact form,https://2026.knighthacks.org,https://2026.knighthacks.org,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,CodeRED Orion,,Hackathon Organizer,Major League Hacking member event,"Houston, Texas, US",,Organizer contact / partnership route on event website,Website / contact form,https://uhcode.red,https://uhcode.red,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
Initial User Gatekeeper,SwampHacks,,Hackathon Organizer,Major League Hacking member event,"Gainesville, Florida, US",,Organizer contact / partnership route on event website,Website / contact form,https://swamphacks.com,https://swamphacks.com,"Hackathon attendees are laptop-heavy student builders who work in long, distraction-prone sessions.",Developer Deep-Work Challenge: give attendees free Pro for a 7-day build sprint.,Would you be open to sharing a free 7-day focus challenge with participants?,8,10,9,https://www.mlh.com/seasons/2027/events,2026-08-31,Not Contacted,Event name/location/site verified on MLH season schedule; use event site's current contact/team page.
